trial,Self,Other,Feedback,strategy,agent_id,Memory,cumulative
64,0,0,1,WSLS,2,NA,0.796875
65,0,0,1,WSLS,2,NA,0.8
66,0,0,1,WSLS,2,NA,0.803030303030303
67,0,0,1,WSLS,2,NA,0.8059701492537313
68,0,0,1,WSLS,2,NA,0.8088235294117647
69,0,0,1,WSLS,2,NA,0.8115942028985508
70,0,0,1,WSLS,2,NA,0.8142857142857143
71,0,1,0,WSLS,2,NA,0.8028169014084507
72,1,1,1,WSLS,2,NA,0.8055555555555556
73,1,1,1,WSLS,2,NA,0.8082191780821918
74,1,1,1,WSLS,2,NA,0.8108108108108109
75,1,1,1,WSLS,2,NA,0.8133333333333334
76,1,1,1,WSLS,2,NA,0.8157894736842105
77,1,1,1,WSLS,2,NA,0.8181818181818182
78,1,1,1,WSLS,2,NA,0.8205128205128205
79,1,1,1,WSLS,2,NA,0.8227848101265823
80,1,1,1,WSLS,2,NA,0.825
81,1,0,0,WSLS,2,NA,0.8148148148148148
82,0,0,1,WSLS,2,NA,0.8170731707317073
83,0,0,1,WSLS,2,NA,0.8192771084337349
84,0,0,1,WSLS,2,NA,0.8214285714285714
85,0,0,1,WSLS,2,NA,0.8235294117647058
86,0,0,1,WSLS,2,NA,0.8255813953488372
87,0,0,1,WSLS,2,NA,0.8275862068965517
88,0,0,1,WSLS,2,NA,0.8295454545454546
89,0,0,1,WSLS,2,NA,0.8314606741573034
90,0,0,1,WSLS,2,NA,0.8333333333333334
91,0,1,0,WSLS,2,NA,0.8241758241758241
92,1,1,1,WSLS,2,NA,0.8260869565217391
93,1,1,1,WSLS,2,NA,0.8279569892473119
94,1,1,1,WSLS,2,NA,0.8297872340425532
95,1,1,1,WSLS,2,NA,0.8315789473684211
96,1,1,1,WSLS,2,NA,0.8333333333333334
97,1,1,1,WSLS,2,NA,0.8350515463917526
98,0,1,0,WSLS,2,NA,0.826530612244898
99,1,1,1,WSLS,2,NA,0.8282828282828283
100,1,1,1,WSLS,2,NA,0.83
1,0,0,1,Memory,2,0.5,1
2,0,0,1,Memory,2,0.4,1
3,1,0,0,Memory,2,0.32,0.6666666666666666
4,0,0,1,Memory,2,0.256,0.75
5,1,0,0,Memory,2,0.2048,0.6
6,1,0,0,Memory,2,0.16384,0.5
7,0,0,1,Memory,2,0.13107200000000002,0.5714285714285714
8,0,0,1,Memory,2,0.10485760000000002,0.625
9,0,0,1,Memory,2,0.08388608000000002,0.6666666666666666
10,0,0,1,Memory,2,0.06710886400000002,0.7
11,0,1,0,Memory,2,0.053687091200000016,0.6363636363636364
12,0,1,0,Memory,2,0.24294967296,0.5833333333333334
13,0,1,0,Memory,2,0.394359738368,0.5384615384615384
14,0,1,0,Memory,2,0.5154877906944,0.5
15,1,1,1,Memory,2,0.6123902325555199,0.5333333333333333
16,1,1,1,Memory,2,0.689912186044416,0.5625
17,1,1,1,Memory,2,0.7519297488355328,0.5882352941176471
18,1,1,1,Memory,2,0.8015437990684262,0.6111111111111112
19,1,1,1,Memory,2,0.841235039254741,0.631578947368421
20,1,1,1,Memory,2,0.8729880314037928,0.65
21,1,0,0,Memory,2,0.8983904251230342,0.6190476190476191
22,1,0,0,Memory,2,0.7187123400984274,0.5909090909090909
23,0,0,1,Memory,2,0.574969872078742,0.6086956521739131
24,0,0,1,Memory,2,0.45997589766299357,0.625
25,0,0,1,Memory,2,0.36798071813039485,0.64
