T,param,subj,mean,q025,q975,true
120,lapse,13,0.13354798272183,0.004898673015,0.32961291575,0.18009723697893262
120,lapse,14,0.14026572683162,0.00473753283,0.34398502575,0.17740201075447676
120,lapse,15,0.19610292267969,0.0056444579425,0.5032068005,0.2075784976260061
120,lapse,16,0.16718155534995,0.005171124322500001,0.432022435,0.33898685436078185
120,lapse,17,0.163424380105,0.00484042296,0.3977036802499999,0.2249786386969022
120,lapse,18,0.15503346356397,0.006249608047500001,0.39193936799999995,0.28225230574057014
120,lapse,19,0.18073393266173,0.005079472430000001,0.46319740174999974,0.08392305120528307
120,lapse,20,0.15898711977202,0.006484298487500001,0.38472172924999987,0.03813509459203612
120,lapse,21,0.10977096152357,0.0044202839275,0.27418703275,0.11298152035712254
120,lapse,22,0.15711574396583,0.005962839575000001,0.39914488849999996,0.13601717668753688
120,lapse,23,0.11586721032038,0.0051708493075,0.26582568874999996,0.08018283423957255
120,lapse,24,0.12681396743134,0.0053390841875,0.317037221,0.13064639191114844
120,lapse,25,0.216865344257856,0.0063029971825000015,0.60253787875,0.2740527537487749
120,lapse,26,0.14788204794503,0.00502214823,0.39460553149999994,0.3587208191035341
120,lapse,27,0.1441134443888,0.0051502138,0.36187179875,0.22621365624505443
120,lapse,28,0.158699161150214,0.0066292329975,0.3942839615,0.10796889361130839
120,lapse,29,0.19019662734971,0.0056407127825,0.47521923399999993,0.19174583515701515
120,lapse,30,0.14520764523177,0.004741705222500001,0.34202495074999995,0.23743321909405662
120,lapse,31,0.165554175969476,0.004995418202500001,0.4037043559999999,0.16533468254109737
120,lapse,32,0.168473079394665,0.00555712954,0.4534342352499998,0.09935887732645254
120,lapse,33,0.180171729675347,0.0055967603325,0.475782411,0.13936320434802907
120,lapse,34,0.1327204267447,0.005941856355,0.33822485899999993,0.04786568235948882
120,lapse,35,0.080589960691947,0.0037254425475,0.19159100975,0.04667938389330331
120,lapse,36,0.101325855736914,0.004812248585,0.24294974699999997,0.10484844605169256
120,lapse,37,0.1298936041307693,0.005871887855000001,0.32148995025,0.07278281762745756
120,lapse,38,0.16408066592084,0.005931010107500001,0.43114160825,0.22106839440652196
120,lapse,39,0.116584172950159,0.0044219686525,0.2666169045,0.12065588414714916
120,lapse,40,0.13737178233238,0.004386662312499999,0.327178759,0.06941973396226464
120,p_loss,1,0.08917380709177,0.007591514817500001,0.19458920399999996,0.07987508220427614
120,p_loss,2,0.16914380077288,0.013944298375,0.318222261,0.12042963795476053
120,p_loss,3,0.11436221626897,0.00797448059,0.23282792275,0.17658195091173282
120,p_loss,4,0.33277938919289,0.063855071825,0.50750617925,0.28265632115025274
120,p_loss,5,0.1121077439713936,0.008791820072500001,0.241014599,0.21654291227041247
120,p_loss,6,0.1234869997145,0.012399135050000003,0.25377566625,0.18951213295362285
120,p_loss,7,0.11389301608412,0.00684403312,0.23871662924999998,0.06999077143540167
120,p_loss,8,0.2310765090192,0.035684914125,0.39324471899999996,0.31987787155074066
120,p_loss,9,0.17684901495108,0.012455449675,0.324918422,0.16699603085620712
120,p_loss,10,0.455136529276,0.264474477,0.60107386775,0.4230706288486793
120,p_loss,11,0.2919555072193,0.047515145975000006,0.4638771645,0.3290176747606226
120,p_loss,12,0.25993410682,0.106531158,0.39682883849999995,0.22632017511202862
120,p_loss,13,0.09271913023492,0.008088882065,0.21215550374999997,0.033516619262346545
120,p_loss,14,0.0842642844505,0.007324399995,0.18295812774999998,0.10738899192944354
120,p_loss,15,0.1842078646311,0.015938047875,0.3241143225,0.1507036733146671
120,p_loss,16,0.338347544563,0.1768793015,0.47786924825,0.30496397444547396
120,p_loss,17,0.13466959417694,0.01447368545,0.26828204375,0.2244666860986571
