param,mean,q025,q975,T,sim_id,true
p_win,0.83864502618,0.728779194,0.968594544,240,8,0.8712033263002839
p_loss,0.216847911149,0.083007380725,0.32609713749999997,240,8,0.15641758850615986
lapse,0.2002309799746,0.03560736175000001,0.41354837825,240,8,0.31794855930423155
p_win,0.79554240779,0.71011110975,0.8833450344999999,240,9,0.850140697949538
p_loss,0.0702445449378,0.013092358475000001,0.14168076374999997,240,9,0.05172631302746087
lapse,0.1085626714587,0.017053617325,0.24120353924999993,240,9,0.1279975185028719
p_win,0.67111275941,0.56836427975,0.7859190885,240,10,0.7437594071775032
p_loss,0.141218870159,0.047132186575000005,0.23273750199999996,240,10,0.07712741959222232
lapse,0.1797790681912,0.02881065405,0.3689267199999998,240,10,0.2782191983623044
p_win,0.81246999073,0.6977220554999999,0.9597618012499999,240,11,0.8319820628378222
p_loss,0.208846148954,0.06383455885,0.3227461824999999,240,11,0.17542880232952981
lapse,0.2197482731367,0.037134532,0.45660465049999993,240,11,0.17658985688385648
p_win,0.7474847472,0.64361058775,0.8602835117500001,240,12,0.7525227771384819
p_loss,0.1312500582778,0.04090109435,0.22646998599999998,240,12,0.11797367502390124
lapse,0.165183770752,0.029892179550000002,0.34855419925,240,12,0.0759824934478158
p_win,0.59874388023,0.50427476525,0.7112411545,240,13,0.7321245091331965
p_loss,0.181146222732,0.060136399975,0.28399060825,240,13,0.09035713580630196
lapse,0.2108092050169,0.027097764300000004,0.45289439099999995,240,13,0.36623488634299806
p_win,0.77337253036,0.662452414,0.89768410225,240,14,0.8315547300950965
p_loss,0.1342445185429,0.025905122600000004,0.24027913674999998,240,14,0.06555480165862179
lapse,0.1966339363587,0.03807876245,0.40419212449999997,240,14,0.3352049543477443
p_win,0.94339730988,0.87449231425,0.9895712415,240,15,0.9669058670347338
p_loss,0.26125517267,0.17711870875000002,0.353313921,240,15,0.4156939706768105
lapse,0.1041606166057,0.019850327725000002,0.22015352425,240,15,0.0823027613628084
p_win,0.94349125126,0.88415558975,0.98580486575,240,16,0.9326818062442795
p_loss,0.106117811983,0.04150630122500001,0.1693130845,240,16,0.09865096980389407
lapse,0.0835546934192,0.009740465132500003,0.18154201274999998,240,16,0.08351321469570629
p_win,0.92590366059,0.87161783675,0.97333098575,240,17,0.8729303457526267
p_loss,0.03918334830348,0.007132891510000001,0.0855060116,240,17,0.054074490583244324
