pairing,opponent,strategy,position,sim_id,payoff_total,payoff_matcher,payoff_mismatcher,role_advantage,winrate,n_win_first,rep_win_first,n_loss_first,rep_loss_first,n_win_second,rep_win_second,n_loss_second,rep_loss_second
WSLS vs WSLS,WSLS,WSLS,A,109,-18,-16,-2,-14,0.41,17,5,33,18,23,12,26,18
WSLS vs WSLS,WSLS,WSLS,B,109,18,2,16,-14,0.5900000000000001,33,20,17,8,26,15,23,16
WSLS vs WSLS,WSLS,WSLS,A,110,6,6,0,6,0.53,28,19,22,9,25,19,24,13
WSLS vs WSLS,WSLS,WSLS,B,110,-6,-0,-6,6,0.47,22,12,28,16,24,13,25,17
WSLS vs WSLS,WSLS,WSLS,A,111,-12,-2,-10,8,0.44,24,11,26,17,19,10,30,16
WSLS vs WSLS,WSLS,WSLS,B,111,12,10,2,8,0.56,26,14,24,16,30,18,19,9
WSLS vs WSLS,WSLS,WSLS,A,112,6,0,6,-6,0.53,25,9,25,20,28,17,21,10
WSLS vs WSLS,WSLS,WSLS,B,112,-6,-6,-0,-6,0.47,25,12,25,19,21,10,28,17
WSLS vs WSLS,WSLS,WSLS,A,113,-2,-8,6,-14,0.49,21,9,29,16,28,17,21,13
WSLS vs WSLS,WSLS,WSLS,B,113,2,-6,8,-14,0.51,29,18,21,11,21,14,28,12
WSLS vs WSLS,WSLS,WSLS,A,114,-4,-4,0,-4,0.48,23,16,27,13,24,13,25,17
WSLS vs WSLS,WSLS,WSLS,B,114,4,-0,4,-4,0.52,27,17,23,12,25,11,24,12
WSLS vs WSLS,WSLS,WSLS,A,115,0,2,-2,4,0.5,26,19,24,13,24,17,25,14
WSLS vs WSLS,WSLS,WSLS,B,115,-0,2,-2,4,0.5,24,16,26,10,25,17,24,12
WSLS vs WSLS,WSLS,WSLS,A,116,0,-14,14,-28,0.5,18,10,32,21,32,17,17,5
WSLS vs WSLS,WSLS,WSLS,B,116,-0,-14,14,-28,0.5,32,20,18,11,17,11,32,20
WSLS vs WSLS,WSLS,WSLS,A,117,-6,-4,-2,-2,0.47,23,12,27,15,24,13,25,13
WSLS vs WSLS,WSLS,WSLS,B,117,6,2,4,-2,0.53,27,11,23,10,25,13,24,16
WSLS vs WSLS,WSLS,WSLS,A,118,-2,-2,0,-2,0.49,24,15,26,17,25,14,24,13
WSLS vs WSLS,WSLS,WSLS,B,118,2,-0,2,-2,0.51,26,11,24,14,24,15,25,18
WSLS vs WSLS,WSLS,WSLS,A,119,0,-6,6,-12,0.5,22,14,28,13,28,19,21,12
WSLS vs WSLS,WSLS,WSLS,B,119,-0,-6,6,-12,0.5,28,17,22,13,21,13,28,14
WSLS vs WSLS,WSLS,WSLS,A,120,0,-2,2,-4,0.5,24,15,26,12,26,20,23,12
WSLS vs WSLS,WSLS,WSLS,B,120,-0,-2,2,-4,0.5,26,10,24,8,23,16,26,15
WSLS vs WSLS,WSLS,WSLS,A,121,14,12,2,10,0.57,31,18,19,11,25,14,24,13
WSLS vs WSLS,WSLS,WSLS,B,121,-14,-2,-12,10,0.43000000000000005,19,12,31,14,24,17,25,17
